0,xi-1,xi,f(xi-1),f(xi),errR,errRP
1,-13.0,-11.0,4.5625,1.5625,1.0,100.0
2,-11.0,-9.4375,1.5625,-0.433349609375,0.16556291390728478,16.55629139072848
3,-9.4375,-9.870849609375,-0.433349609375,0.08960450068116188,0.04390195641957904,4.390195641957904
4,-9.870849609375,-9.781245108693838,0.08960450068116188,-0.020452757728303794,0.009160848101180794,0.9160848101180794
5,-9.781245108693838,-9.801697866422142,-0.020452757728303794,0.004580066539022987,0.0020866545783225156,0.20866545783225157
6,-9.801697866422142,-9.797117799883118,0.004580066539022987,-0.0010301759508362096,0.00046749121859885327,0.04674912185988533
7,-9.797117799883118,-9.798147975833954,-0.0010301759508362096,0.00023148477118883903,0.0001051398645312384,0.01051398645312384
8,-9.798147975833954,-9.797916491062765,0.00023148477118883903,-5.2027135020615844e-05,2.362591795928018e-05,0.002362591795928018
9,-9.797916491062765,-9.797968518197784,-5.2027135020615844e-05,1.1692724680045785e-05,5.309992058363688e-06,0.0005309992058363688
10,-9.797968518197784,-9.797956825473104,1.1692724680045785e-05,-2.62788531291136e-06,1.1933839767130418e-06,0.00011933839767130419
11,-9.797956825473104,-9.797959453358416,-2.62788531291136e-06,5.906034719060926e-07,2.6820740834178786e-07,2.6820740834178787e-05
12,-9.797959453358416,-9.797958862754944,5.906034719060926e-07,-1.3273511445532904e-07,6.027821510367411e-08,6.027821510367411e-06
13,-9.797958862754944,-9.79795899549006,-1.3273511445532904e-07,2.983153635227609e-08,1.354722094719978e-08,1.354722094719978e-06
14,-9.79795899549006,-9.797958965658523,2.983153635227609e-08,-6.704484967201552e-09,3.0446684311329023e-09,3.0446684311329024e-07
15,-9.797958965658523,-9.79795897236301,-6.704484967201552e-09,1.5068000180917807e-09,6.84273722138584e-10,6.84273722138584e-08
16,-9.79795897236301,-9.79795897085621,1.5068000180917807e-09,-3.3864555604168345e-10,1.537871328685618e-10,1.5378713286856177e-08
17,-9.79795897085621,-9.797958971194856,-3.3864555604168345e-10,7.610978514094313e-11,3.456295798091155e-11,3.456295798091155e-09
18,-9.797958971194856,-9.797958971118746,7.610978514094313e-11,-1.7105428185004712e-11,7.767922417851561e-12,7.767922417851562e-10
19,-9.797958971118746,-9.797958971135852,-1.7105428185004712e-11,3.845812557301542e-12,1.7459061028749461e-12,1.7459061028749463e-10
20,-9.797958971135852,-9.797958971132006,3.845812557301542e-12,-8.65085780787922e-13,3.9251160049073123e-13,3.925116004907312e-11
21,-9.797958971132006,-9.797958971132871,-8.65085780787922e-13,1.9451107391432743e-13,8.829244777781489e-14,8.829244777781488e-12
22,-9.797958971132871,-9.797958971132676,1.9451107391432743e-13,-4.440892098500626e-14,1.994285268082101e-14,1.9942852680821012e-12
23,-9.797958971132676,-9.79795897113272,-4.440892098500626e-14,9.769962616701378e-15,4.532466518368391e-15,4.532466518368391e-13
24,-9.79795897113272,-9.797958971132712,9.769962616701378e-15,-8.881784197001252e-16,9.06493303673679e-16,9.06493303673679e-14
